year,poverty_pct_automation_on,poverty_pct_automation_off,median_wealth_automation_on,median_wealth_automation_off,aggregate_wage_income_pct_of_no_automation_baseline
1,37.23,37.23,35636,35636,100.0
2,36.2,36.2,36596,36596,100.0
3,34.75,34.75,37482,37482,100.0
4,32.8,32.8,38932,38932,100.0
5,30.4,30.4,40374,40374,100.0
6,27.77,27.77,42340,42345,99.3
7,25.48,25.45,44559,44604,97.91
8,23.38,23.4,46993,47057,95.86
9,21.8,21.8,49412,49627,93.2
10,20.65,20.52,51688,51953,89.98
11,19.62,19.23,54207,54567,86.28
12,18.6,18.18,57187,57431,82.16
13,18.2,17.68,59713,60584,77.72
14,17.55,16.93,62527,63439,73.38
15,17.1,16.32,65019,66464,69.34
16,16.82,15.85,67738,69468,65.56
17,16.52,15.62,70297,72445,62.02
18,16.3,15.28,73305,75445,58.71
19,16.2,14.95,76321,78925,55.62
20,16.25,14.65,79099,82191,52.71
21,16.15,14.4,81978,85355,49.99
22,16.07,14.2,84922,88910,47.44
23,15.98,14.08,87767,92541,45.05
24,15.95,13.7,90451,96159,42.8
25,15.95,13.5,93053,99645,40.69
