year,poverty_pct_automation_on,poverty_pct_automation_off,median_wealth_automation_on,median_wealth_automation_off,aggregate_wage_income_pct_of_no_automation_baseline
1,38.27,38.27,36785,36785,100.00
2,37.35,37.35,37708,37708,100.00
3,36.02,36.02,38721,38721,100.00
4,34.52,34.52,39951,39951,100.00
5,32.73,32.73,41549,41549,100.00
6,29.97,29.95,43150,43153,99.30
7,27.80,27.77,44863,44863,97.92
8,25.15,25.20,46733,46693,95.89
9,23.45,23.45,48915,48961,93.25
10,21.90,21.82,51196,51247,90.05
11,20.45,20.15,53577,53838,86.37
12,19.30,18.93,56062,56348,82.28
13,18.33,18.10,58136,58596,77.87
14,17.80,17.32,60950,61519,73.56
15,17.48,16.85,63527,64364,69.54
16,17.00,16.27,66401,67349,65.78
17,16.82,16.07,69527,70512,62.26
18,16.63,15.65,72079,73576,58.97
19,16.57,15.35,75016,76819,55.89
20,16.38,14.93,77725,80058,53.00
21,16.27,14.55,80506,83569,50.29
22,16.27,14.28,83291,87276,47.74
23,16.27,14.25,86145,90843,45.36
24,16.15,14.25,88810,94570,43.11
25,16.07,14.10,91658,97950,41.01
